Station_ID,Node_ID,Latitude,Longitude,Total_Capacity_kW,Total_Chargers,Charger_Config,Install_Fee,Service_Rate_per_h,Expected_Wait_Time_h,Number of EVs,Qty_3kW,Qty_7kW,Qty_11kW,Qty_20kW,Qty_22kW,Qty_30kW,Qty_60kW,Qty_80kW,Qty_120kW,Qty_150kW,Qty_180kW,Qty_250kW
1,6405730789,21.0096905,105.8154172,0.06,2,2x30kW,2929.93999,0.71,1000000,4,0,0,0,0,0,2,0,0,0,0,0,0
2,5674347102,21.0060273,105.8310576,0.033,3,3x11kW,3410.3700000000003,0.39,1000000,2,0,0,3,0,0,0,0,0,0,0,0,0
3,98026475,21.0064882,105.8316381,0.106,6,"2x3kW, 2x20kW, 2x30kW",7244.740000000001,1.25,1000000,5,2,0,0,2,0,2,0,0,0,0,0,0
4,5683792674,21.0061057,105.8313438,0.72,14,"4x30kW, 10x60kW",19099.06,8.47,1000000,1743,0,0,0,0,0,4,10,0,0,0,0,0
5,1904335857,21.0149024,105.8090202,0.011,1,1x11kW,1064.761875,0.13,1000000,4,0,0,1,0,0,0,0,0,0,0,0,0
6,1497544796,21.0234448,105.8321545,0.011,1,1x11kW,2511.5249999999996,0.13,1000000,5,0,0,1,0,0,0,0,0,0,0,0,0
7,1495022756,21.0076693,105.8407052,0.72,6,6x120kW,10113.375,8.47,1000000,580,0,0,0,0,0,0,0,0,6,0,0,0
8,6651770210,21.0128887,105.8082128,0.011,1,1x11kW,1586.619375,0.13,1000000,3,0,0,1,0,0,0,0,0,0,0,0,0
9,1905157910,21.0078461,105.8356008,0.011,1,1x11kW,1363.02,0.13,1000000,5,0,0,1,0,0,0,0,0,0,0,0,0
10,5686449774,20.9993929,105.8343962,0.12,2,2x60kW,3229.945,1.41,1000000,3,0,0,0,0,0,0,2,0,0,0,0,0
11,104777991,21.0211537,105.8350263,0.007,1,1x7kW,1072.37,0.08,1000000,3,0,1,0,0,0,0,0,0,0,0,0,0
12,5709906194,21.0143317,105.8403519,0.011,1,1x11kW,1136.79,0.13,1000000,2,0,0,1,0,0,0,0,0,0,0,0,0
13,9602244141,21.024602,105.8392509,0.007,1,1x7kW,1042.635905,0.08,1000000,3,0,1,0,0,0,0,0,0,0,0,0,0
14,6688471376,20.999988,105.8319564,0.48,4,4x120kW,7011.89,5.65,1000000,25,0,0,0,0,0,0,0,0,4,0,0,0
15,283141649,21.0235924,105.8054028,0.011,1,1x11kW,1474.155,0.13,1000000,2,0,0,1,0,0,0,0,0,0,0,0,0
16,283141482,21.0203603,105.8072926,0.023,2,"1x3kW, 1x20kW",3029.31,0.27,1000000,10,1,0,0,1,0,0,0,0,0,0,0,0
17,6662241095,21.0131584,105.8180511,0.007,1,1x7kW,1585.619375,0.08,1000000,5,0,1,0,0,0,0,0,0,0,0,0,0
