,name,bus,p_mw,q_mvar,scaling,type
0,LOAD_TBA 110kV Tr,66,23.75,10.12,1.0,commercial
1,LOAD_TBA 110kV E1,67,29.51,12.57,1.0,commercial
2,LOAD_TBA 110kV Vă,68,32.78,13.97,1.0,mixed
3,LOAD_TBA 110kV Tr,69,31.18,13.28,1.0,mixed
4,LOAD_TBA 110kV Cô,70,25.87,11.02,1.0,mixed
5,LOAD_TBA 110kV Yê,71,17.25,7.35,1.0,mixed
6,LOAD_TBA 110kV Bắ,72,16.46,7.01,1.0,mixed
7,LOAD_TBA 110kV Th,73,22.93,9.77,1.0,mixed
8,LOAD_TBA 110kV Th,74,29.13,12.41,1.0,mixed
9,LOAD_TBA 110kV Th,75,21.66,9.23,1.0,mixed
10,LOAD_TBA 110kV Cầ,76,16.16,6.89,1.0,mixed
11,LOAD_TBA 110kV Mỹ,77,23.76,10.12,1.0,mixed
12,LOAD_TBA 110kV Dư,78,36.26,17.56,1.0,industrial
13,LOAD_TBA 110kV Mỗ,79,28.32,13.72,1.0,industrial
14,LOAD_TBA 110kV Đồ,80,27.93,13.53,1.0,industrial
15,LOAD_TBA 110kV Ng,81,30.57,13.02,1.0,commercial
16,LOAD_TBA 110kV Từ,82,18.43,7.85,1.0,mixed
17,LOAD_TBA 110kV Tr,83,20.2,8.6,1.0,mixed
18,LOAD_TBA 110kV Sà,84,24.32,11.78,1.0,industrial
19,LOAD_TBA 110kV NC,85,22.91,11.1,1.0,industrial
20,LOAD_TBA 110kV Ng,86,26.12,12.65,1.0,industrial
21,LOAD_TBA 110kV Gi,87,17.12,7.29,1.0,mixed
22,LOAD_TBA 110kV Đô,88,18.34,7.81,1.0,mixed
23,LOAD_TBA 110kV Đạ,89,18.93,8.06,1.0,mixed
24,LOAD_TBA 110kV Li,90,19.65,8.37,1.0,mixed
25,LOAD_TBA 110kV Lĩ,91,22.28,9.49,1.0,mixed
26,LOAD_TBA 110kV Hồ,92,17.6,7.5,1.0,mixed
27,LOAD_TBA 110kV Ma,93,20.11,8.57,1.0,mixed
28,LOAD_TBA 110kV Mi,94,20.74,8.83,1.0,mixed
29,LOAD_TBA 110kV Ph,95,16.37,6.97,1.0,mixed
30,LOAD_TBA 110kV Na,96,20.86,8.89,1.0,residential
31,LOAD_TBA 110kV Nh,97,17.36,7.4,1.0,residential
32,LOAD_TBA 110kV Ma,98,16.52,7.04,1.0,mixed
33,LOAD_TBA 110kV Hả,99,23.59,10.05,1.0,mixed
34,LOAD_TBA 110kV Ki,100,23.73,10.11,1.0,mixed
35,LOAD_TBA 110kV E1,101,22.47,9.57,1.0,mixed
36,LOAD_TBA 110kV Bắ,102,18.44,7.85,1.0,mixed
37,LOAD_TBA 220kV Vâ,103,16.78,7.15,1.0,mixed
38,LOAD_TBA 110kV Nộ,104,21.47,9.15,1.0,mixed
39,LOAD_TBA 110kV Só,105,19.52,8.32,1.0,mixed
40,LOAD_TBA 110kV KC,106,16.98,7.23,1.0,mixed
41,LOAD_TBA 110kV Th,107,19.96,8.5,1.0,mixed
42,LOAD_TBA 110kV Th,108,16.28,6.93,1.0,mixed
43,LOAD_TBA 110kV Ph,109,23.27,9.91,1.0,mixed
44,LOAD_TBA 110kV Vâ,110,18.07,7.7,1.0,mixed
45,LOAD_TBA 110kV Bắ,111,21.3,9.07,1.0,mixed
46,LOAD_TBA 110kV Th,112,18.49,7.88,1.0,mixed
47,LOAD_TBA 110kV Th,113,20.16,8.59,1.0,mixed
48,LOAD_TBA 110kV Ph,114,20.37,8.68,1.0,mixed
49,LOAD_TBA 100kV Qu,115,17.48,7.45,1.0,mixed
50,LOAD_TBA 110kV CN,116,23.76,10.12,1.0,mixed
51,LOAD_TBA 110kV E1,117,22.2,9.46,1.0,mixed
52,LOAD_TBA 110kV KC,118,23.52,10.02,1.0,mixed
53,LOAD_TBA 110kV Qu,119,23.16,9.87,1.0,mixed
54,LOAD_IND_TBA 110kV Công ,70,3.0,0.8999999999999999,1.0,industrial
55,LOAD_IND_TBA 110kV Nam T,96,3.0,0.8999999999999999,1.0,industrial
56,LOAD_IND_TBA 110kV Bắc T,102,3.0,0.8999999999999999,1.0,industrial
57,LOAD_IND_TBA 220kV Vân T,103,3.0,0.8999999999999999,1.0,industrial
58,LOAD_IND_TBA 110kV Nội B,104,3.0,0.8999999999999999,1.0,industrial
59,LOAD_IND_TBA 110kV KCN N,106,3.0,0.8999999999999999,1.0,industrial
60,LOAD_IND_TBA 110kV CNC2 ,116,3.0,0.8999999999999999,1.0,industrial
61,LOAD_IND_TBA 110kV KCN P,118,3.0,0.8999999999999999,1.0,industrial
62,LOAD_IND_TBA 110kV Quang,119,3.0,0.8999999999999999,1.0,industrial
