label,category,user_satisfaction,grid_safety,net_utility,raw_grid_penalty,cost,benefit,fairness
Dynamic DQN (w=0.0),Proposed Dynamic DQN,93.50565215908702,100.0,0.8332306034398154,0.0,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=0.1),Proposed Dynamic DQN,93.50565215908702,98.83314849787133,0.8327254729194133,0.03333861434653314,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=0.25),Proposed Dynamic DQN,93.50565215908702,97.08287124467834,0.8319677771388103,0.08334653586633284,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=0.5),Proposed Dynamic DQN,93.50565215908702,94.1657424893567,0.8307049508378053,0.16669307173266568,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=0.75),Proposed Dynamic DQN,93.50565215908702,91.24861373403505,0.8294421245368002,0.2500396075989985,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=1.0),Proposed Dynamic DQN,93.50565215908702,88.3314849787134,0.8281792982357952,0.33338614346533135,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=1.5),Proposed Dynamic DQN,93.50565215908702,82.49722746807011,0.8256536456337851,0.500079215197997,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=2.0),Proposed Dynamic DQN,93.50565215908702,76.66296995742681,0.823127993031775,0.6667722869306627,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=3.0),Proposed Dynamic DQN,93.50565215908702,64.99445493614022,0.8180766878277549,1.000158430395994,0.06494347840912983,2.1532949933049115,0.4113402954236644
Dynamic DQN (w=5.0),Proposed Dynamic DQN,93.50565215908702,41.65742489356701,0.8079740774197145,1.6669307173266568,0.06494347840912983,2.1532949933049115,0.4113402954236644
Greedy-Demand,Greedy-Demand Baseline,84.79637852138872,0.0,0.6693213355960157,3.2314091257328625,0.15203621478611287,2.1996555690694004,0.09883361503616764
Greedy-Grid,Greedy-Grid Baseline,65.30413608625882,100.0,0.37673877860495336,0.0,0.34695863913741176,1.0,0.47717497495227185
Random Policy,Random Baseline,89.55214731558159,36.9738937941152,0.7190864630563888,0.0,0.0,0.0,0.0
